_id,ALARM_DATE,CONT_DATE,GIS_ACRES,Shape__Area,Shape__Length,YEAR_,STATE,FIRE_NAME,INC_NUM
200,15/08/2023,31/12/2023,31.21948,218677.4453,2238.919096,2023,CA,SULPHER,992
201,09/09/2023,8/11/2023,8645.426,56558852.22,73681.75826,2023,CA,QUARRY,1921
202,12/07/2023,21/7/2023,16.75898,100156.1406,1554.751275,2023,CA,DRY,2149
203,11/07/2023,14/7/2023,23.56014,149300.5742,2063.393486,2023,CA,COTTON,773
204,15/08/2023,3/10/2023,4198.194,29782851.64,55373.59929,2023,CA,DEEP,973
205,28/07/2023,20/8/2023,93077.87,566824239,264117.4915,2023,CA,YORK,10701
206,15/08/2023,11/9/2023,739.8182,5311222.496,17079.03742,2023,CA,LOST,959
207,25/08/2023,19/10/2023,16.54212,118120.8828,1585.720548,2023,CA,BRIDGE RIDGE,1054
208,15/08/2023,19/10/2023,12.40059,88464.69141,1468.33548,2023,CA,DEVIL,948
209,29/06/2023,15/8/2023,841,5451324.898,16477.84437,2023,CA,PIKA,50
210,15/08/2023,14/12/2023,2248.449,14117352.79,18191.68013,2023,CA,REDWOOD,61
211,16/10/2023,20/10/2023,23.93,150164.6484,1628.454834,2023,CA,SYCAMORE,114
212,03/06/2023,3/6/2023,67.26041,424802.3203,3601.6956,2023,CA,PANOCHE,3292
213,29/10/2023,30/10/2023,23.66831,135338.1172,2228.000928,2023,CA,BORDER 34,24114
214,22/12/2023,22/12/2023,38.60516,220667.3281,3493.3236,2023,CA,BORDER 42,28214
215,17/06/2023,23/6/2023,28.64047,174526.1563,4156.498594,2023,CA,VALLEY,8684
216,10/06/2023,18/6/2023,1033.308,6086124.551,15544.83904,2023,CA,GEOLOGY,8414
217,13/09/2023,20/9/2023,32.59397,216134.7305,4029.09343,2023,CA,WOLF CREEK,30697
218,25/10/2023,25/10/2023,52.93411,360449.8633,4196.464519,2023,CA,HILL,30791
219,22/05/2023,23/5/2023,8.502274,62117.34375,1985.069955,2023,CA,JANES,177
220,24/05/2023,26/5/2023,56.06239,401150.5234,5383.565434,2023,CA,JESS,181
221,02/07/2023,3/7/2023,5.702603,40440.67969,1171.615664,2023,CA,MULE,721
222,15/08/2023,16/8/2023,8.922971,62661.88281,1019.671797,2023,CA,L-1 BRANCH FISH,4323
223,03/07/2023,3/7/2023,8.326042,48661.33203,1129.032027,2023,CA,STINE,1101
224,06/06/2023,7/6/2023,5.489922,39466.57813,1768.088511,2023,CA,MONTE,486
225,15/08/2023,23/8/2023,472.7209,3269595.191,12733.71857,2023,CA,SLIDE 1,852
226,16/08/2023,17/8/2023,44.80482,303525.9453,3664.241114,2023,CA,HIGHWAY,1295
227,15/09/2023,15/9/2023,12.56114,76082.48438,3080.892878,2023,CA,ROAD,2628
228,26/08/2023,,8.368764,59981.73438,1227.262515,2023,CA,CREEK,1068
229,15/08/2023,9/1/2024,76.7887,539647.9141,3204.006118,2023,CA,PILOT,932
230,04/07/2023,4/7/2023,23.00138,140823.3281,2772.240031,2023,CA,LANE,1107
231,12/10/2023,14/10/2023,259.8927,1579435.297,8222.418468,2023,CA,AVENALES,2880
232,25/07/2023,8/8/2023,426.2046,2541744.766,8617.848862,2023,CA,AGUA,232390
233,14/10/2023,16/10/2023,118.5461,757854.1055,5737.533666,2023,CA,KING,1561
234,17/06/2023,27/6/2023,46.6567,295928.0234,3660.866521,2023,CA,WILDCAT,555
235,20/07/2023,20/7/2023,322.9609,2101383.68,6473.235344,2023,CA,COWTRACK,1075
236,17/04/2023,22/4/2023,62.93432,394267.3203,6353.729086,2023,CA,IMVITE,6194
237,24/05/2023,27/5/2023,81.68464,490680.3477,6520.465494,2023,CA,STODDARD,7568
238,26/05/2023,26/5/2023,15.10045,91857.28516,1790.434804,2023,CA,GOLF,628
239,28/05/2023,28/5/2023,14.80223,89621.67578,2073.539217,2023,CA,HORN,663
240,28/05/2023,28/5/2023,13.71699,83084.67969,1718.069725,2023,CA,KERTO,661
241,04/06/2023,4/6/2023,10.07988,60945.98438,1400.026159,2023,CA,MINERAL,25722
242,24/06/2023,25/6/2023,228.4782,1381892.43,12754.67306,2023,CA,GRADE,28966
243,10/09/2023,10/9/2023,34.17575,224238.4648,2694.351952,2023,CA,KNOLL,12092
244,25/09/2023,25/9/2023,12.74907,77988.32031,1521.073538,2023,CA,MAJORS,44347
245,26/09/2023,27/9/2023,22.08992,129652.1719,1774.831328,2023,CA,MEADOW,142970
246,05/12/2023,5/12/2023,12.77125,72986.67578,2030.133224,2023,CA,BORDER 38,26801
247,12/11/2023,14/11/2023,63.70088,386476.668,4368.275657,2023,CA,MIDWAY,2389
248,05/08/2023,8/8/2023,1113.898,6862632.824,17746.02708,2023,CA,NONAME,11021
249,14/07/2023,23/7/2023,178.1577,1093542.129,6911.544944,2023,CA,GRANITE,1220
250,15/05/2023,15/5/2023,121.1558,737669.1055,3572.014098,2023,CA,ARROW,543
251,18/07/2023,21/7/2023,62.32319,357554.9922,2540.432385,2023,CA,Winterhaven Drive,964
252,11/03/2023,12/3/2023,15.25318,87511.72656,1408.504739,2023,CA,Winterhaven,86
253,20/04/2023,22/4/2023,19.89741,114327.4648,2617.939535,2023,CA,Laguna,201
254,17/08/2023,18/8/2023,27.64029,192656.5742,2375.264657,2023,CA,R-1 Spencer Basin,4369
255,31/07/2023,4/8/2023,22.55552,131573.4883,1749.770715,2023,CA,BREEZE,10803
256,27/10/2023,28/10/2023,90.48016,532339.4375,5119.0451,2023,CA,TRAM,14017
257,09/08/2023,11/8/2023,183.9228,1060934.363,6973.034253,2023,CA,BUNNIE,18386
258,16/08/2023,18/8/2023,14.55784,106294.4883,1706.836858,2023,CA,ASH,7013
259,15/08/2023,28/8/2023,792.9697,5681507.43,16992.59133,2023,CA,RANCH,6969
260,15/08/2023,28/8/2023,29.74612,212868.7422,2876.961818,2023,CA,LONG,6965
261,15/08/2023,2/9/2023,1055.172,7430767.449,19672.84572,2023,CA,PILOT,8047
262,10/08/2023,10/8/2023,300.792,1889136.363,8767.679546,2023,CA,QUAIL 2,586
263,15/08/2023,14/11/2023,89326.05,653153709.9,310391.9449,2023,CA,KELLY,939
264,16/08/2023,2/11/2023,2836.39,19947931.85,68191.92947,2023,CA,3-Sep,972
265,15/08/2023,23/8/2023,81.23029,590216.5859,4621.795022,2023,CA,TOWNSEND,7031
266,15/08/2023,4/9/2023,1935.952,14050384.42,23549.83663,2023,CA,SCOTT,6941
267,15/08/2023,7/9/2023,200.2064,1448786.512,8863.538671,2023,CA,LAKE,6975
268,18/08/2023,24/8/2023,294.8512,2152075.215,6968.732878,2023,CA,DEN,7072
269,21/08/2023,25/9/2023,1728.136,12457944.09,18526.71597,2023,CA,HANCOCK,1016
270,17/08/2023,25/10/2023,12152.45,87295981.71,191343.962,2023,CA,PEARCH,983
271,17/08/2023,28/9/2023,95.91678,692201.1914,7400.785106,2023,CA,LET ER-BUCK,984
272,19/08/2023,2/9/2023,20.01698,144629.1992,1822.039352,2023,CA,IRON,1003
273,15/08/2023,14/11/2023,599.3448,4357972.82,9443.720863,2023,CA,PRESCOTT,989
274,15/08/2023,23/10/2023,13875.25,100555093.6,92115.67863,2023,CA,ELLIOT,6944
275,15/08/2023,31/8/2023,71.79534,519821.1875,10073.96726,2023,CA,TITUS,6950
276,16/08/2023,28/9/2023,7850.58,57036758.54,56259.29605,2023,CA,UFISH,7029
277,15/08/2023,3/10/2023,1997.206,14446716.52,40356.36384,2023,CA,MARLOW,962
278,15/08/2023,14/11/2023,2677.779,19514022.41,36615.32112,2023,CA,HURDY GURDY,998
279,15/08/2023,14/11/2023,1090.281,7980142.227,16299.19483,2023,CA,CORRAL,946
280,15/08/2023,14/11/2023,550.0559,4026102.227,16071.36531,2023,CA,DIAMOND,945
