weatherstn,ALARM_DATE,obs,obs_value,Fire station name,UNIT_ID,GIS_ACRES,Shape__Area,Shape__Length,YEAR_,fire_occurred
US1CAHM0029,2018-07-15,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,15.26755,109649.7656,2241.345976,2018.0,1
US1CAHM0029,2018-07-15,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,15.26755,109649.7656,2241.345976,2018.0,1
US1CAHM0029,2018-08-20,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,7.95544,55323.88672,1423.756895,2018.0,1
US1CAHM0029,2018-08-20,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,7.95544,55323.88672,1423.756895,2018.0,1
US1CAHM0029,2020-02-15,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,10.47374,73476.59375,1526.389401,2020.0,1
US1CAHM0029,2020-02-15,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,10.47374,73476.59375,1526.389401,2020.0,1
US1CAHM0029,2020-10-23,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,101.4003,711099.6328,3753.852905,2020.0,1
US1CAHM0029,2020-10-23,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,101.4003,711099.6328,3753.852905,2020.0,1
US1CAHM0029,2020-12-24,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,11.07413,77436.85156,1825.22881,2020.0,1
US1CAHM0029,2020-12-24,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,11.07413,77436.85156,1825.22881,2020.0,1
US1CAHM0029,2021-07-06,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,16.39773,113554.9258,1504.078138,2021.0,1
US1CAHM0029,2021-07-23,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,25.31992,174727.1523,1928.953196,2021.0,1
US1CAHM0029,2021-07-06,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,16.39773,113554.9258,1504.078138,2021.0,1
US1CAHM0029,2021-07-23,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,25.31992,174727.1523,1928.953196,2021.0,1
US1CAHM0029,2021-09-25,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,19.0184,131720.2734,2146.130389,2021.0,1
US1CAHM0029,2021-09-25,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,19.0184,131720.2734,2146.130389,2021.0,1
