US1CACL0001,20181201,PRCP,13,,,N,830.0
US1CACL0001,20181205,PRCP,15,,,N,700.0
US1CACL0001,20181207,PRCP,0,,,N,700.0
US1CACL0001,20181215,PRCP,23,,,N,700.0
US1CACL0001,20181216,PRCP,5,,,N,700.0
US1CACL0001,20181224,PRCP,30,,,N,700.0
US1CACL0001,20181207,SNOW,0,,,N,700.0
US1CACL0001,20190105,PRCP,0,,,N,700.0
US1CACL0001,20190106,PRCP,152,,,N,700.0
US1CACL0001,20190107,PRCP,249,,,N,700.0
US1CACL0001,20190108,PRCP,5,,,N,700.0
US1CACL0001,20190109,PRCP,122,,,N,700.0
US1CACL0001,20190110,PRCP,13,,,N,700.0
US1CACL0001,20190117,PRCP,262,,,N,700.0
US1CACL0001,20190118,PRCP,23,,,N,700.0
US1CACL0001,20190120,PRCP,46,,,N,700.0
US1CACL0001,20190105,SNOW,0,,,N,700.0
US1CACL0001,20190203,PRCP,211,,,N,700.0
US1CACL0001,20190204,PRCP,173,,,N,700.0
US1CACL0001,20190214,PRCP,627,,,N,700.0
US1CACL0001,20190217,PRCP,28,,,N,700.0
US1CACL0001,20190226,PRCP,147,,,N,700.0
US1CACL0001,20190227,PRCP,422,,,N,700.0
US1CACL0001,20190302,PRCP,89,,,N,800.0
US1CACL0001,20190303,PRCP,46,,,N,700.0
US1CACL0001,20190321,PRCP,48,,,N,700.0
US1CACL0001,20190324,PRCP,142,,,N,700.0
US1CACL0001,20190326,PRCP,163,,,N,700.0
US1CACL0001,20190601,DAPR,2,,,N,700.0
US1CACL0001,20190601,MDPR,312,,,N,700.0
US1CACL0001,20191201,PRCP,358,,,N,700.0
US1CACL0001,20191202,PRCP,234,,,N,700.0
US1CACL0001,20191208,DAPR,2,,,N,700.0
US1CACL0001,20191208,MDPR,84,,,N,700.0
US1CACL0001,20200405,PRCP,91,,,N,700.0
US1CACL0001,20200513,PRCP,30,,,N,700.0
US1CACL0001,20200517,PRCP,89,,,N,700.0
US1CACL0001,20200518,PRCP,74,,,N,700.0
US1CACL0001,20200520,PRCP,76,,,N,830.0
US1CACL0001,20200530,PRCP,30,,,N,700.0
US1CACL0001,20200531,PRCP,8,,,N,1615.0
US1CACL0001,20200613,PRCP,28,,,N,700.0
US1CACL0001,20201113,PRCP,5,,,N,700.0
US1CACL0001,20201118,PRCP,15,,,N,700.0
US1CACL0001,20201212,PRCP,8,,,N,700.0
US1CACL0001,20201213,PRCP,48,,,N,700.0
US1CACL0001,20201214,PRCP,74,,,N,700.0
US1CACL0001,20201217,PRCP,180,,,N,700.0
US1CACL0001,20201226,PRCP,25,,,N,700.0
US1CACL0001,20210102,PRCP,15,,,N,700.0
US1CACL0001,20210104,PRCP,89,,,N,700.0
US1CACL0001,20210107,PRCP,46,,,N,700.0
US1CACL0001,20210108,PRCP,30,,,N,700.0
US1CACL0001,20210127,PRCP,198,,,N,700.0
US1CACL0001,20210128,PRCP,84,,,N,700.0
US1CACL0001,20210129,PRCP,135,,,N,700.0
US1CACL0001,20210115,DAPR,2,,,N,700.0
US1CACL0001,20210115,MDPR,10,,,N,700.0
US1CACL0001,20210202,PRCP,36,,,N,700.0
US1CACL0001,20210212,PRCP,51,,,N,700.0
US1CACL0001,20210213,PRCP,8,,,N,700.0
US1CACL0001,20210306,PRCP,64,,,N,700.0
US1CACL0001,20210310,PRCP,25,,,N,700.0
US1CACL0001,20210315,PRCP,28,,,N,700.0
US1CACL0001,20210318,PRCP,5,,,N,700.0
US1CACL0001,20210319,PRCP,76,,,N,700.0
US1CACL0001,20210910,PRCP,25,,,N,700.0
US1CACL0001,20211020,PRCP,58,,,N,700.0
US1CACL0001,20211021,PRCP,38,,,N,700.0
US1CACL0001,20211022,PRCP,89,,,N,700.0
US1CACL0001,20211023,PRCP,20,,,N,700.0
US1CACL0001,20211024,PRCP,516,,,N,700.0
US1CACL0001,20211025,PRCP,622,,,N,700.0
US1CACL0001,20211102,PRCP,10,,,N,700.0
US1CACL0001,20211104,PRCP,3,,,N,700.0
US1CACL0001,20211107,PRCP,15,,,N,700.0
US1CACL0001,20211109,PRCP,259,,,N,700.0
US1CACL0001,20211119,PRCP,20,,,N,700.0
US1CACL0001,20211207,PRCP,33,,,N,700.0
US1CACL0001,20211209,PRCP,13,,,N,700.0
US1CACL0001,20211213,PRCP,191,,,N,700.0
US1CACL0001,20211214,PRCP,173,,,N,700.0
US1CACL0001,20211216,PRCP,150,,,N,700.0
US1CACL0001,20211222,PRCP,183,,,N,700.0
US1CACL0001,20211223,PRCP,38,,,N,700.0
US1CACL0001,20211225,PRCP,66,,,N,700.0
US1CACL0001,20211229,PRCP,122,,,N,700.0
US1CACL0001,20220104,PRCP,5,,,N,700.0
US1CACL0001,20220105,PRCP,5,,,N,700.0
US1CACL0001,20220107,PRCP,8,,,N,700.0
US1CACL0001,20220315,PRCP,5,,,N,700.0
US1CACL0001,20220316,PRCP,28,,,N,700.0
US1CACL0001,20220320,PRCP,3,,,N,700.0
US1CACL0001,20220328,PRCP,79,,,N,700.0
US1CACL0001,20220416,PRCP,38,,,N,700.0
US1CACL0001,20220510,PRCP,61,,,N,700.0
US1CACL0001,20220605,PRCP,69,,,N,700.0
US1CACL0001,20220912,PRCP,13,,,N,700.0
US1CACL0001,20220913,PRCP,10,,,N,700.0
US1CACL0001,20220918,PRCP,28,,,N,700.0
US1CACL0001,20220919,PRCP,130,,,N,700.0
US1CACL0001,20220923,DAPR,4,,,N,700.0
US1CACL0001,20220923,MDPR,152,,,N,700.0
US1CACL0001,20221102,PRCP,5,,,N,700.0
US1CACL0001,20221103,PRCP,5,,,N,700.0
US1CACL0001,20221107,PRCP,28,,,N,700.0
US1CACL0001,20221108,PRCP,109,,,N,700.0
US1CACL0001,20221109,PRCP,104,,,N,700.0
US1CACL0001,20221201,PRCP,76,,,N,700.0
US1CACL0001,20221202,PRCP,43,,,N,700.0
US1CACL0001,20221204,PRCP,48,,,N,700.0
US1CACL0001,20221205,PRCP,69,,,N,700.0
US1CACL0001,20221206,PRCP,3,,,N,700.0
US1CACL0001,20221209,PRCP,10,,,N,700.0
US1CACL0001,20221210,PRCP,66,,,N,700.0
US1CACL0001,20221211,PRCP,112,,,N,700.0
US1CACL0001,20221212,PRCP,203,,,N,700.0
US1CACL0001,20221220,PRCP,5,,,N,700.0
US1CACL0001,20221227,PRCP,290,,,N,700.0
US1CACL0001,20221229,PRCP,97,,,N,700.0
US1CACL0001,20221230,PRCP,155,,,N,700.0
US1CACL0001,20221231,PRCP,58,,,N,700.0
US1CACL0001,20230101,PRCP,94,,,N,700.0
US1CACL0001,20230103,PRCP,81,,,N,700.0
US1CACL0001,20230104,PRCP,41,,,N,700.0
US1CACL0001,20230105,PRCP,290,,,N,700.0
US1CACL0001,20230106,PRCP,58,,,N,700.0
US1CACL0001,20230107,PRCP,13,,,N,700.0
US1CACL0001,20230108,PRCP,191,,,N,700.0
US1CACL0001,20230109,PRCP,305,,,N,700.0
US1CACL0001,20230110,PRCP,132,,,N,700.0
US1CACL0001,20230111,PRCP,38,,,N,700.0
US1CACL0001,20230112,PRCP,305,,,N,700.0
US1CACL0001,20230113,PRCP,0,,,N,700.0
US1CACL0001,20230114,PRCP,330,,,N,700.0
US1CACL0001,20230115,PRCP,25,,,N,700.0
US1CACL0001,20230116,PRCP,33,,,N,700.0
US1CACL0001,20230119,PRCP,38,,,N,700.0
US1CACL0001,20230130,PRCP,71,,,N,700.0
US1CACL0001,20230113,SNOW,0,,,N,700.0
US1CACL0001,20230203,PRCP,74,,,N,700.0
US1CACL0001,20230205,PRCP,43,,,N,700.0
US1CACL0001,20230224,PRCP,193,,,N,700.0
US1CACL0001,20230225,PRCP,74,,,N,700.0
